,barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,engId,feScore,fuelCost08,fuelCostA08,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,UCity,UCityA,UHighway,UHighwayA,year,youSaveSpend,charge240b,phevCity,phevHwy,phevComb
barrels08,1.0,0.05347620982626964,,-0.34397921003714516,-0.7091694796833377,-0.5137120080691765,-0.1508338786376993,-0.16531261854331006,-0.02307091131039384,-0.3221830335226351,-0.17931729838957106,-0.11912773959411575,0.037301212405675736,0.11080135836865229,0.9898003428427408,-0.7608355386578838,-0.5092180149206843,-0.14558475172842386,-0.1625918565050707,-0.32877844198564626,-0.020265654513777796,-0.17910913531247763,0.7337048538100784,0.7846097510171237,-0.015319333355425208,-0.4689514376936889,0.9213443234530507,0.10626275886913726,-0.471525522536712,-0.0009960059103605323,-0.8126646783875632,-0.49222868780552964,-0.13591418110656747,-0.15654845177637144,-0.013823253230225194,-0.3355163363729766,-0.17863505825110243,-0.2437989536448513,-0.2709063929805241,-0.28886125235559706,-0.07625889462723562,-0.24119277397053773,-0.15431921181345418,-0.07714351392554948,-0.2887303157455202,-0.3027527674962816,-0.2722621874631998,-0.15629819468802597,-0.26894871403339937,-0.15990138760521055,-0.6935171454198807,-0.15733560040471886,-0.82229289149208,-0.027539226139347252,-0.29512295869622657,-0.9271393391917413,-0.17528832447571152,-0.17701118568200958,-0.18001232996222286,-0.17877129008869092
barrelsA08,0.05347620982626964,1.0,,0.05329269770203641,-0.049621411304267525,0.057275935347756,0.5014506130734185,0.40847145105082455,0.1431905150730965,0.20698812090895619,0.24480373588365875,0.09739619140542623,0.5794709017567719,0.9300337438889054,0.0555660139552341,-0.05684954426830195,0.06330538254220196,0.5482550884237277,0.4424477912033035,0.20300542963250184,0.1367806402466834,0.2459697802237967,0.1286614964547694,0.1458368012980837,-0.08403417540472398,0.06387979304524924,0.04310799491461061,0.9332209600016449,0.07343140970574741,0.5238856117113835,-0.06429642960461868,0.07031557765719329,0.6119818527560978,0.49049263114984604,0.12090414788861319,0.19777991116996907,0.24731412840657055,-0.04477890276214265,-0.05180257912864961,0.13098212111196736,-0.062354178451450554,-0.05607910916921888,0.31470303243238124,-0.06273145372008254,-0.06154503800955667,-0.016513892506891423,-0.014847941809992892,0.16617447068136573,-0.014667730306607497,0.17931051805397058,-0.048228447949790754,0.4626930817032329,-0.06566687031453158,0.7202243414680921,0.14413348585129565,-0.027326103019435496,-0.00954898508443887,0.21248933513655033,0.23267612174124155,0.22157179771080016
charge120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charge240,-0.34397921003714516,0.05329269770203641,,1.0,0.7418705668211371,0.6067151566554629,0.22686993616595091,0.2324075167884278,0.04022556082167536,0.7151358660612918,0.269231594924238,-0.044606342642592334,-0.01249104350493588,-0.019055503009318922,-0.348101113528951,0.7219337624608467,0.5582690052696799,0.22367922644767232,0.2308780649938583,0.7252413821601801,0.03736129654530811,0.2699952332444168,-0.05035082581858188,-0.061075404263334805,-0.04516257000329514,0.3017327160161303,-0.24503740442806746,-0.012053874313173904,0.30846056921569387,-0.012442903888684367,0.6677337361743476,0.4832772216080036,0.21568166764395913,0.22532614197441828,0.028736405943062603,0.7345203543137216,0.27086481012153835,0.09711754089521565,0.07271823551183876,0.14518718416656218,-0.039719363218230185,0.011238542187096,0.21069750894132042,-0.04039301233829225,0.00919337204294355,0.9304674470629238,0.8486665154568804,0.2475284813730853,0.8507835772447493,0.25521781117530856,0.7402916708144907,0.23122532410569605,0.6405304563712748,0.08448136644891092,0.13606716982045866,0.26093892866054785,0.625198405406222,0.2470300339348206,0.2555985989321981,0.2513396338420768
city08,-0.7091694796833377,-0.049621411304267525,,0.7418705668211371,1.0,0.7528071626458699,0.0792571401383198,0.08826838827800747,0.004418267332080849,0.5001813919182235,0.08686882013935576,0.016130624844115052,-0.034781925839549824,-0.07307510030066776,-0.7198726667467805,0.9924503044652823,0.7016137787395528,0.07334411341883476,0.08400698891019473,0.5206564927940643,0.002803717164671992,0.08574045434150347,-0.6784807949367688,-0.7109516779593231,-0.00193238823967179,0.460447706565477,-0.6435167011340468,-0.07185511208592942,0.459329977800659,-0.01729967888715337,0.9519884349453678,0.6228005691657521,0.06413584907779907,0.07702998748531181,-0.0001462552446724553,0.5433001203552877,0.0841189646890687,0.20177669589161734,0.21223056206790306,0.2287604856306544,-0.013745915111106457,0.11816990666761168,0.0754568484367605,-0.016036407330837048,0.1411392932231279,0.7445633669599901,0.6919008817213756,0.0766040063475267,0.6744900379899749,0.07554975569752166,0.9979231738485528,0.08364644720605635,0.9465890713264893,-0.006587281756659198,0.21482196880369175,0.644111053185376,0.4480826051279621,0.10160923455593857,0.09762301300820678,0.10017354392069164
city08U,-0.5137120080691765,0.057275935347756,,0.6067151566554629,0.7528071626458699,1.0,0.13963333552325377,0.15415303324123822,0.01393687092866351,0.42155868890125664,0.12252768118854009,0.5114797840393979,0.07383173771785861,0.025752221412642558,-0.5216535339510202,0.750342910102087,0.9947939779048753,0.13944948138256832,0.15657586465064444,0.43552723296038126,0.011629247639186609,0.1218031282392984,-0.15480471989371883,-0.1799274502049221,-0.2464928779801201,0.8241621303195743,-0.40323379826068395,0.028289920073567204,0.8226141404777471,0.08594437866996014,0.7266601374097568,0.9724206452384802,0.13781550062228862,0.15920179186074787,0.007045055921121136,0.45070309928614116,0.12071973863857356,0.05172553306651141,0.03998683222164208,0.6594157000986027,-0.07934285136516693,0.012074323377981038,0.11072928419357943,-0.06067749384332078,0.04760120460048332,0.5893106907212737,0.5536062404271471,0.10375608880510095,0.5405336843689168,0.10490591880745471,0.7550536891485086,0.14063423348905918,0.736067984169527,0.07809517754999051,0.6449558617009383,0.4076559787105999,0.358714808607261,0.1296912031133327,0.12928243511147075,0.12985274108183956
cityA08,-0.1508338786376993,0.5014506130734185,,0.22686993616595091,0.0792571401383198,0.13963333552325377,1.0,0.9794432989606802,0.07390760206651478,0.5690901611568204,0.9058806688547882,0.044748269261946444,0.20503904882514495,0.2927048940524642,-0.15144238214349023,0.0705170198651235,0.1365492285488383,0.9969648400502017,0.9767434382224707,0.569457900535773,0.06356682744404253,0.9026839614757733,-0.02267097180151431,-0.023771533178452483,-0.05647854101162047,0.19345915818807868,-0.07159612910616855,0.30877990796502097,0.21235380086675498,0.22243615661883204,0.05142308054464834,0.12799061480050086,0.9829837110299168,0.9643889289540007,0.039880243245901906,0.5685647165489957,0.8975680280662355,0.013346398042645096,0.007518888226522763,0.1310268597600594,-0.04063834431715785,-0.002459712537939961,0.7811663246850405,-0.03934651272857305,0.011612490631364433,-0.011057600304420842,-0.009942090019641822,0.7924870733812309,-0.009821421511362307,0.8036856023964206,0.08345606728148314,0.9972343542163008,0.05395656886359903,0.5327694643494519,0.13102237631408814,0.12099560078033321,-0.0036720138438455707,0.9325673246405649,0.9345175704362264,0.9357118362399447
cityA08U,-0.16531261854331006,0.40847145105082455,,0.2324075167884278,0.08826838827800747,0.15415303324123822,0.9794432989606802,1.0,0.07659087919652685,0.5811247567627762,0.9200855579044213,0.058269019337468426,0.21068967943740471,0.1845477250658854,-0.16604311088310597,0.08013230754307549,0.1518328896182339,0.971128643094024,0.9974475186290884,0.5815143471218418,0.0662266892342696,0.9168189577695561,-0.03781733386756005,-0.03992527847736228,-0.04812585109044617,0.21006142866415703,-0.07874477507750528,0.20182382579917404,0.22938951802876711,0.2284403110203444,0.06119969841243239,0.1439920237627383,0.9491797779885052,0.9850581974969976,0.04190729954420437,0.5805566752900134,0.9116950107839792,0.019263766045124014,0.013800578591974038,0.13231325145110598,-0.03458899787946791,0.002198110182940201,0.7989814475589118,-0.03277951835576331,0.017315815749508627,-0.0094556696119812,-0.00850176493002042,0.8042989528603922,-0.00839857784462668,0.8157035121258225,0.09310559223159237,0.9839735841089577,0.06543124914874221,0.4733880330018485,0.12806706251816968,0.12897655444370737,-0.0027051446504948807,0.946173371859596,0.9482448791179853,0.9493778067399053
cityCD,-0.02307091131039384,0.1431905150730965,,0.04022556082167536,0.004418267332080849,0.01393687092866351,0.07390760206651478,0.07659087919652685,1.0,0.09581697003489469,0.14025355847009854,0.014388424987921936,-0.0016109584618062764,-0.002457570803008351,-0.0143274548509008,0.0031072848260228166,0.014204767611521812,0.08112937056478263,0.08428753695360368,0.09625622845845316,0.992019037200963,0.1387812923621489,0.004458549190093421,-0.0023742844042284107,-0.0058670456095537135,0.021980226443664725,0.0014225158930181577,-0.0024767001244472343,0.026105586931575844,-0.0016047499395064628,0.0012117189476019909,0.013951834794559942,0.09096323136332995,0.09490215432121729,0.9487512130847804,0.09769276601448727,0.1365292684979999,-0.001129745449114812,-0.0018149528659440776,0.01476118736471639,-0.005405477278254214,-0.0006860122875296921,0.19261862773119204,-0.0056085225229107,-0.0009346286422532846,-0.0011389424438143121,-0.001024043914760204,0.09000200224622806,-0.0010116149535093178,0.09374632832344847,0.00436144442223494,0.07337916393389594,0.0015153111465958649,0.009642908941859334,0.014100334608067606,0.004335413475264029,-0.0006593908646295693,0.09134857375297492,0.11027515464374711,0.09955127966107397
cityE,-0.3221830335226351,0.20698812090895619,,0.7151358660612918,0.5001813919182235,0.42155868890125664,0.5690901611568204,0.5811247567627762,0.09581697003489469,1.0,0.6558552137771098,-0.01010165922208467,-0.013794547701177707,-0.021044042087285667,-0.3249977944268987,0.4796440889072664,0.3896427335451142,0.5718979756262014,0.587346920463838,0.9985082493704539,0.08109053355879119,0.6603309209993882,-0.033932841432170645,-0.048032869616379696,-0.04960572052944758,0.27683310194689476,-0.18322532513501313,-0.002916077342986758,0.30146903394226,-0.013741384470064403,0.4306737612350467,0.3389795630920902,0.5648422863643112,0.5860101622726323,0.05205331171502601,0.9927509058759569,0.6659280802947977,0.059853785250045276,0.045341960161984086,0.1522722438303333,-0.04148367668618947,0.007573106940969609,0.6404580945588508,-0.04060559338658002,0.014505822792495366,0.5328940221971052,0.4613131185055048,0.4944548779131728,0.46079772235426614,0.5278206006678617,0.5045600167472793,0.5754881241973991,0.4191513163910219,0.24127265495165556,0.13992315647061498,0.22704810482205406,0.2912257987200708,0.5718873831645657,0.6207526231051993,0.5943244664026135
